question,answer,source_article
What is the primary classification criterion for a high-risk AI system under the EU AI Act?,An AI system is classified as high-risk if it is a safety component of a product covered by Annex I harmonization legislation OR if it falls within one of the specific use-case categories listed in Annex III of the EU AI Act.,EU AI Act – Article 6 (Classification rules for high-risk AI systems)
What must providers of high-risk AI systems establish and maintain throughout the system lifecycle?,Providers must establish implement document and maintain a risk management system that identifies analyzes estimates evaluates and mitigates known and reasonably foreseeable risks to health safety or fundamental rights.,EU AI Act – Article 9 (Risk management system)
What data quality requirements apply to training datasets used in high-risk AI systems?,Training validation and testing datasets must be subject to appropriate data governance practices be relevant sufficiently representative and to the best extent possible free of errors and complete with respect to the intended purpose.,EU AI Act – Article 10(2) (Data and data governance)
What must technical documentation for a high-risk AI system demonstrate before it is placed on the market?,Technical documentation must demonstrate that the high-risk AI system complies with all applicable requirements of the EU AI Act and must contain at minimum the elements set out in Annex IV.,EU AI Act – Article 11(1) (Technical documentation)
What are the transparency obligations for providers of high-risk AI systems under the EU AI Act?,High-risk AI systems must be sufficiently transparent to enable deployers to interpret outputs and use the system appropriately. Providers must supply instructions for use including capabilities limitations performance metrics and known risks.,EU AI Act – Article 13 (Transparency and provision of information to deployers)
What does the EU AI Act require regarding human oversight of high-risk AI systems?,High-risk AI systems must be designed so that natural persons can effectively oversee them during use including the ability to understand system capacities and limitations detect anomalies counter automation bias and intervene or deactivate the system.,EU AI Act – Article 14 (Human oversight)
What accuracy robustness and cybersecurity requirements apply to high-risk AI systems?,High-risk AI systems must achieve an appropriate level of accuracy robustness and cybersecurity and perform consistently in these respects throughout their lifecycle as stated in their technical documentation.,EU AI Act – Article 15 (Accuracy robustness and cybersecurity)
List four key obligations imposed on providers of high-risk AI systems.,Providers must: establish a quality management system; draw up technical documentation; ensure conformity assessment; and affix CE marking and register the system in the EU database before placing it on the market.,EU AI Act – Article 16 (Obligations of providers of high-risk AI systems)
What quality management system elements must providers of high-risk AI systems implement?,The quality management system must cover the AI strategy design and development process post-market monitoring corrective actions and management review ensuring ongoing compliance with the EU AI Act.,EU AI Act – Article 17 (Quality management system)
What post-market monitoring obligations do providers of high-risk AI systems have?,Providers must actively monitor high-risk AI systems after they are placed on the market and report serious incidents or malfunctions to market surveillance authorities and implement corrective action when systems no longer conform.,EU AI Act – Article 72 (Post-market monitoring by providers)
What obligations do deployers of high-risk AI systems have under the EU AI Act?,Deployers must use high-risk AI systems in accordance with the instructions for use ensure human oversight assign competent persons conduct fundamental rights impact assessments and inform affected individuals.,EU AI Act – Article 26 (Obligations of deployers of high-risk AI systems)
Which AI practices are absolutely prohibited under the EU AI Act?,Prohibited practices include subliminal manipulation to distort behavior exploitation of vulnerabilities social scoring by public authorities real-time remote biometric identification in public spaces by law enforcement (with limited exceptions) and AI that infers emotions in workplaces and schools.,EU AI Act – Article 5 (Prohibited AI practices)
How does the EU AI Act define an AI system?,An AI system is a machine-based system designed to operate with varying levels of autonomy that may exhibit adaptiveness after deployment and that infers from inputs how to generate outputs such as predictions content recommendations or decisions that can influence real or virtual environments.,EU AI Act – Article 3(1) (Definitions)
What is the definition of a provider under the EU AI Act?,A provider is a natural or legal person authority agency or other body that develops an AI system or a general-purpose AI model or that has such a system developed and places it on the market or puts it into service under their own name or trademark.,EU AI Act – Article 3(3) (Definitions)
What categories of AI use cases are listed in Annex III as high-risk?,Annex III covers: biometric identification and categorisation; critical infrastructure management; education and vocational training; employment and HR management; essential private and public services; law enforcement; migration asylum and border control; and administration of justice and democratic processes.,EU AI Act – Annex III (High-risk AI systems referred to in Article 6(2))
What is the role of notified bodies in the EU AI Act conformity assessment process?,Notified bodies are third-party conformity assessment bodies designated by member states to conduct independent conformity assessments for certain high-risk AI systems where self-assessment alone is insufficient.,EU AI Act – Article 43 (Conformity assessment)
What are General-Purpose AI (GPAI) models and what transparency obligations apply to them?,GPAI models are AI models trained on broad data that can perform a wide range of tasks. Providers must publish technical documentation prepare and maintain instructions for use and comply with EU copyright law and publish a sufficiently detailed summary of training data.,EU AI Act – Article 53 (Obligations for providers of general-purpose AI models)
What additional obligations apply to GPAI models with systemic risk?,Providers of GPAI models with systemic risk must perform model evaluations including adversarial testing assess and mitigate systemic risks report serious incidents to the Commission and ensure adequate cybersecurity protection.,EU AI Act – Article 55 (Obligations for providers of general-purpose AI models with systemic risk)
How does the EU AI Act define systemic risk for GPAI models?,A GPAI model is considered to present systemic risk if it has high-impact capabilities such as when cumulative training compute exceeds 10^25 FLOPs or when the Commission designates it based on its potential to cause widespread harm.,EU AI Act – Article 51 (Classification of general-purpose AI models with systemic risk)
What must the EU declaration of conformity for a high-risk AI system contain?,The EU declaration of conformity must state that the high-risk AI system complies with the requirements in Chapter III Section 2 of the EU AI Act and must include provider details system identification the conformity assessment procedure applied and the date.,EU AI Act – Article 47 (EU declaration of conformity)
What is the maximum administrative fine for violations of prohibited AI practices under the EU AI Act?,Violations of prohibited AI practices under Article 5 may result in administrative fines of up to €35 million or 7% of total worldwide annual turnover whichever is higher.,EU AI Act – Article 99(3) (Penalties)
What are the six lawful bases for processing personal data under the GDPR?,The six lawful bases are: (1) consent; (2) contract performance; (3) compliance with a legal obligation; (4) protection of vital interests; (5) performance of a task in the public interest or exercise of official authority; and (6) legitimate interests of the controller or third party.,GDPR – Article 6 (Lawfulness of processing)
What seven principles must govern all personal data processing under the GDPR?,The seven principles are: lawfulness fairness and transparency; purpose limitation; data minimisation; accuracy; storage limitation; integrity and confidentiality; and accountability.,GDPR – Article 5 (Principles relating to processing of personal data)
What information must a data controller provide to individuals when collecting their personal data directly?,Controllers must provide: identity and contact details of the controller and DPO; purposes and legal basis for processing; legitimate interests pursued; recipients; international transfer details; retention period; and data subject rights including the right to lodge a complaint.,GDPR – Article 13 (Information to be provided where personal data are collected from the data subject)
What conditions must be met for consent to be valid under the GDPR?,"Consent must be freely given specific informed and unambiguous. It must be as easy to withdraw as to give. Consent cannot be bundled with contract performance where the processing is not necessary for that contract, and controllers must be able to demonstrate that valid consent was obtained.",GDPR – Article 7 (Conditions for consent)
What is the right to erasure (right to be forgotten) under the GDPR?,Data subjects have the right to obtain erasure of their personal data without undue delay where the data is no longer necessary where consent is withdrawn where they object and no overriding legitimate grounds exist or where the data was unlawfully processed.,GDPR – Article 17 (Right to erasure)
What does the right to data portability under the GDPR entitle individuals to?,Data subjects may receive their personal data in a structured commonly used and machine-readable format and transmit it to another controller where processing is based on consent or contract and is carried out by automated means.,GDPR – Article 20 (Right to data portability)
What right do individuals have regarding solely automated decision-making under the GDPR?,Individuals have the right not to be subject to a decision based solely on automated processing including profiling that produces legal effects or similarly significant effects unless explicit consent is given contractual necessity applies or it is authorised by law.,GDPR – Article 22 (Automated individual decision-making including profiling)
When is a Data Protection Impact Assessment (DPIA) mandatory under the GDPR?,A DPIA is mandatory when processing is likely to result in high risk to individuals especially when using systematic automated profiling with legal effects processing large-scale special category data or systematically monitoring publicly accessible areas.,GDPR – Article 35 (Data protection impact assessment)
What must a DPIA contain under the GDPR?,A DPIA must include a systematic description of the processing and its purposes an assessment of the necessity and proportionality of the processing a risk assessment to the rights of data subjects and the measures envisaged to address those risks.,GDPR – Article 35(7) (Data protection impact assessment)
When must an organisation designate a Data Protection Officer (DPO) under the GDPR?,A DPO must be designated when the controller is a public authority or body; when core activities require large-scale regular and systematic monitoring of individuals; or when core activities involve large-scale processing of special categories of data or criminal conviction data.,GDPR – Article 37 (Designation of the data protection officer)
What are the tasks of the DPO under the GDPR?,The DPO's tasks include informing and advising the controller and staff of GDPR obligations monitoring compliance cooperating with and acting as contact for the supervisory authority performing or overseeing DPIAs and maintaining records of processing activities.,GDPR – Article 39 (Tasks of the data protection officer)
What does the principle of Privacy by Design require under the GDPR?,Controllers must implement appropriate technical and organisational measures such as pseudonymisation at the time of designing the processing to ensure GDPR principles are implemented effectively and only necessary data is processed by default.,GDPR – Article 25 (Data protection by design and by default)
What are the obligations of a data processor under the GDPR?,A processor must only process data on documented controller instructions maintain confidentiality implement security measures not engage sub-processors without prior authorisation assist the controller with data subject rights and notify the controller of any data breach.,GDPR – Article 28 (Processor)
What must a data processing agreement between a controller and processor include?,The DPA must specify the subject matter duration nature and purpose of the processing the type of personal data and categories of data subjects and the rights and obligations of the controller including security measures and audit cooperation requirements.,GDPR – Article 28(3) (Processor)
What security measures must controllers and processors implement under the GDPR?,Appropriate measures include pseudonymisation and encryption of personal data; ensuring ongoing confidentiality integrity availability and resilience; ability to restore data after incidents; and a process for regularly testing assessing and evaluating security measure effectiveness.,GDPR – Article 32 (Security of processing)
What are the two tiers of administrative fines under the GDPR?,Tier 1 fines reach up to €10 million or 2% of global annual turnover for infringements of controller/processor obligations security requirements and DPIA duties. Tier 2 fines reach up to €20 million or 4% of global annual turnover for violations of data processing principles data subject rights and international transfer rules.,GDPR – Article 83 (General conditions for imposing administrative fines)
What is the maximum fine for violating GDPR data subject rights or core processing principles?,The maximum fine is €20 million or 4% of total worldwide annual turnover of the preceding financial year whichever is higher.,GDPR – Article 83(5) (General conditions for imposing administrative fines)
What are special categories of personal data under the GDPR and how are they protected?,Special categories include data revealing racial or ethnic origin political opinions religious or philosophical beliefs trade union membership genetic data biometric data health data and data concerning sex life or sexual orientation. Processing is prohibited unless specific exceptions in Article 9(2) apply.,GDPR – Article 9 (Processing of special categories of personal data)
What rights do data subjects have regarding inaccurate data under the GDPR?,Data subjects have the right to obtain from the controller without undue delay the rectification of inaccurate personal data and the right to have incomplete personal data completed.,GDPR – Article 16 (Right to rectification)
What is the right to restriction of processing under the GDPR?,Data subjects can request restriction of processing where they contest data accuracy where processing is unlawful but they oppose erasure where the controller no longer needs the data but the subject needs it for legal claims or where they have objected to processing pending verification.,GDPR – Article 18 (Right to restriction of processing)
What cross-border data transfer mechanisms are permitted under the GDPR?,Transfers to third countries are permitted via: an adequacy decision by the European Commission; appropriate safeguards such as standard contractual clauses or binding corporate rules; or derogations such as explicit consent necessity for a contract or compelling legitimate interests.,GDPR – Articles 44–49 (Transfers of personal data to third countries)
What is the accountability principle under the GDPR?,The controller is responsible for and must be able to demonstrate compliance with the principles relating to processing of personal data set out in Article 5. This requires maintaining records implementing policies conducting DPIAs and having appropriate technical and organisational measures in place.,GDPR – Article 5(2) (Accountability)
What obligations arise when a personal data breach occurs under the GDPR?,The controller must notify the supervisory authority within 72 hours of becoming aware of a breach unless it is unlikely to result in a risk to individuals. Where the breach is likely to result in high risk the data subjects must also be notified without undue delay.,GDPR – Article 33 and Article 34 (Notification of personal data breach)
What is the right of access under the GDPR?,Data subjects have the right to obtain confirmation of whether their personal data is being processed and if so to access that data along with information on the purposes of processing categories of data recipients retention periods and the existence of automated decision-making.,GDPR – Article 15 (Right of access by the data subject)
What is ISO/IEC 42001:2023 and what does it establish?,ISO/IEC 42001:2023 is the international standard that specifies requirements for establishing implementing maintaining and continually improving an Artificial Intelligence Management System (AIMS) within organisations developing or using AI systems.,ISO/IEC 42001:2023 – Clause 1 (Scope)
What high-level structure does ISO/IEC 42001 follow and why is this significant?,ISO/IEC 42001 follows the High-Level Structure (HLS) common to ISO management system standards such as ISO 27001 and ISO 9001 enabling organisations to integrate the AIMS with existing management systems more easily.,ISO/IEC 42001:2023 – Introduction
What does Clause 4 of ISO/IEC 42001 require organisations to determine?,Organisations must determine internal and external issues relevant to their AI purpose and strategy identify the needs and expectations of interested parties and define the scope of the AIMS considering the AI systems it covers.,ISO/IEC 42001:2023 – Clause 4 (Context of the organization)
What leadership obligations does ISO/IEC 42001 impose on top management?,Top management must demonstrate leadership and commitment by establishing an AI policy defining roles responsibilities and authorities ensuring the AIMS achieves its intended outcomes and promoting a culture of responsible AI.,ISO/IEC 42001:2023 – Clause 5 (Leadership)
What must an organisation's AI policy include under ISO/IEC 42001?,The AI policy must be appropriate to the organisation's purpose include commitments to satisfy applicable requirements to continual improvement of the AIMS and to responsible AI provide a framework for setting AI objectives and be communicated and available to interested parties.,ISO/IEC 42001:2023 – Clause 5.2 (AI policy)
What does Clause 6 of ISO/IEC 42001 require regarding AI risk assessment?,Organisations must establish and maintain a documented AI risk assessment process that identifies risks and opportunities related to AI determines risk owners analyzes and evaluates risks and plans actions to address them.,ISO/IEC 42001:2023 – Clause 6.1 (Actions to address risks and opportunities)
What must organisations document as part of AI objectives under ISO/IEC 42001?,AI objectives must be consistent with the AI policy be measurable take into account applicable AI requirements be monitored be communicated and be updated as appropriate. Plans to achieve them must specify resources responsibilities timelines and evaluation methods.,ISO/IEC 42001:2023 – Clause 6.2 (AI objectives and planning to achieve them)
What competence requirements does ISO/IEC 42001 impose on organisations?,Organisations must determine the necessary competence of persons doing work that affects AI performance ensure those persons are competent through education training or experience and retain documented information as evidence of competence.,ISO/IEC 42001:2023 – Clause 7.2 (Competence)
What operational planning and control requirements does Clause 8 of ISO/IEC 42001 cover?,Organisations must plan implement control and review the processes needed to meet AI requirements manage changes to AI systems control externally provided AI-related processes and document operational plans for managing the AI system lifecycle.,ISO/IEC 42001:2023 – Clause 8 (Operation)
What does the AI system impact assessment process in ISO/IEC 42001 Annex A require?,The AI system impact assessment process under A.5 requires organisations to systematically identify evaluate and document the potential impacts of AI systems on individuals groups and society including ethical legal and societal consequences.,"ISO/IEC 42001:2023 – Annex A,  Section A.5 (AI system impact assessment)"
What AI policy controls are specified in Annex A Section A.2 of ISO/IEC 42001?,Section A.2 requires organisations to establish management direction and commitment for responsible AI through documented policies that define principles such as fairness transparency accountability and safety and that are reviewed periodically.,"ISO/IEC 42001:2023 – Annex A,  Section A.2 (AI policies)"
What does Annex A Section A.6 of ISO/IEC 42001 address regarding the AI lifecycle?,Section A.6 (AI System Lifecycle) requires organisations to govern the entire lifecycle of AI systems from conception design development testing deployment operation to decommissioning ensuring consistent responsible management at each stage.,"ISO/IEC 42001:2023 – Annex A,  Section A.6 (AI system lifecycle)"
What data governance controls for AI systems are addressed in ISO/IEC 42001 Annex A Section A.7?,Section A.7 addresses data governance for AI systems requiring controls on data quality data provenance data management throughout the AI lifecycle and ensuring that data used for training testing and operation is appropriate and reliable.,"ISO/IEC 42001:2023 – Annex A,  Section A.7 (Data for AI systems)"
What performance evaluation requirements does ISO/IEC 42001 impose in Clause 9?,Organisations must monitor measure analyse and evaluate the performance of the AIMS conduct internal audits at planned intervals and conduct management reviews to ensure the AIMS remains suitable adequate and effective.,ISO/IEC 42001:2023 – Clause 9 (Performance evaluation)
What does Clause 10 of ISO/IEC 42001 require when a nonconformity is identified?,When a nonconformity occurs organisations must take action to control and correct it evaluate the need for root cause analysis implement corrective actions review effectiveness and update risks and objectives. Documented information must be retained.,ISO/IEC 42001:2023 – Clause 10 (Improvement)
What does Annex A Section A.3 of ISO/IEC 42001 require regarding internal organisation?,Section A.3 requires organisations to define and assign roles responsibilities and authorities for AI governance establish reporting structures for AI-related decisions and ensure accountability across all functions involved in AI development and deployment.,"ISO/IEC 42001:2023 – Annex A,  Section A.3 (Internal organization)"
What does Annex A Section A.4 address in ISO/IEC 42001?,Section A.4 (Resources for AI Systems) addresses the identification and management of resources required for AI systems including people infrastructure tools and data to ensure AI systems can be effectively developed operated and maintained.,"ISO/IEC 42001:2023 – Annex A,  Section A.4 (Resources for AI systems)"
What does Annex A Section A.8 address in ISO/IEC 42001?,Section A.8 (Use of AI Systems) covers controls related to responsible use of AI systems in operation including monitoring AI system behaviour in production ensuring AI is used according to its intended purpose and managing changes in operational context.,"ISO/IEC 42001:2023 – Annex A,  Section A.8 (Use of AI systems)"
What third-party and customer relationship controls are required under Annex A Section A.9 of ISO/IEC 42001?,Section A.9 requires organisations to manage AI risks arising from third-party AI components establish contractual requirements with AI suppliers assess third-party AI trustworthiness and communicate AI system information to customers and affected parties.,"ISO/IEC 42001:2023 – Annex A,  Section A.9 (Third-party and customer relationships)"
What is the purpose of Annex B in ISO/IEC 42001?,Annex B is normative and provides implementation guidance for each of the controls listed in Annex A helping organisations understand how to practically apply the controls to manage AI-specific risks.,ISO/IEC 42001:2023 – Annex B (Implementation guidance for AI controls)
How does ISO/IEC 42001 treat bias and fairness as part of AI risk management?,ISO/IEC 42001 requires organisations to identify and address potential bias in AI systems throughout the lifecycle including in data collection model development and deployment ensuring AI systems are fair and do not produce discriminatory outcomes.,"ISO/IEC 42001:2023 – Clause 6.1 and Annex A,  Section A.6"
What documented information must be retained for the AI risk treatment process under ISO/IEC 42001?,Organisations must retain documented information on the AI risk treatment plan including selected controls treatment options risk owners implementation timelines and residual risk acceptance decisions.,ISO/IEC 42001:2023 – Clause 6.1.3 (AI risk treatment)
How does ISO/IEC 42001 address transparency as a principle for AI systems?,ISO/IEC 42001 requires organisations to establish transparency commitments in the AI policy define how AI system information will be communicated to affected parties and ensure interested parties can understand the purpose capabilities and limitations of AI systems.,"ISO/IEC 42001:2023 – Clause 5.2 and Annex A,  Section A.8"
What role does continual improvement play in ISO/IEC 42001?,Organisations must continually improve the suitability adequacy and effectiveness of the AIMS by addressing nonconformities reviewing AI performance metrics acting on audit findings and updating the AIMS in response to changes in the AI context and risks.,ISO/IEC 42001:2023 – Clause 10.2 (Continual improvement)
What must be included in the scope of the AIMS under ISO/IEC 42001?,The scope must identify the boundaries and applicability of the AIMS considering internal and external issues the requirements of interested parties and the AI systems and activities covered. The scope must be available as documented information.,ISO/IEC 42001:2023 – Clause 4.3 (Determining the scope of the AI management system)
What does Annex C of ISO/IEC 42001 provide?,Annex C is informative and provides guidance on potential AI-related organisational objectives and risk sources helping organisations understand the broader context of AI risks including ethical legal technical and societal risk categories.,ISO/IEC 42001:2023 – Annex C (Guidance on AI-related organizational objectives and risk sources)
What does Annex D of ISO/IEC 42001 provide?,Annex D is informative and provides guidance on using ISO/IEC 42001 alongside other management system standards helping organisations integrate the AIMS with existing frameworks such as ISO 27001 for information security or ISO 9001 for quality management.,ISO/IEC 42001:2023 – Annex D (Use of ISO/IEC 42001 with other management system standards)
How does GDPR Article 22 apply when an AI system makes automated credit scoring decisions with legal effects?,Where an AI system makes automated credit scoring decisions that produce legal effects on individuals the controller must ensure either explicit consent exists a contract necessity applies or member state law authorises it. In all cases humans must be able to intervene explain and allow contestation of decisions.,GDPR – Article 22 (Automated individual decision-making including profiling)
How does the EU AI Act classify AI systems used for creditworthiness assessment?,AI systems used to evaluate the creditworthiness of natural persons or establish their credit scores are listed as high-risk under Annex III and must therefore comply with all high-risk requirements including risk management technical documentation and human oversight.,"EU AI Act – Annex III,  Point 5(b) (High-risk AI systems in essential private services)"
How does ISO/IEC 42001 require organisations to handle AI systems procured from third parties?,Organisations must apply Annex A Section A.9 controls to assess third-party AI systems for trustworthiness and conformance with AI objectives include AI-specific requirements in supplier contracts and monitor third-party AI performance throughout the relationship.,"ISO/IEC 42001:2023 – Annex A,  Section A.9 (Third-party and customer relationships)"
